IdCas,TRCID,CASRN,NAME,INCHIKEY
64175,5245,64-17-5,ethanol,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
64186,5246,64-18-6,formic acid,BDAGIHXWWSANSR-UHFFFAOYSA-N
64197,5247,64-19-7,acetic acid,QTBSBXVTEAMEQO-UHFFFAOYSA-N
66251,5305,66-25-1,hexanal,JARKCYVAAOWBJS-UHFFFAOYSA-N
67561,5350,67-56-1,methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N
67630,5352,67-63-0,propan-2-ol,KFZMGEQAYNKOFK-UHFFFAOYSA-N
67641,5353,67-64-1,acetone,CSCPPACGZOOCGX-UHFFFAOYSA-N
67663,5355,67-66-3,trichloromethane,HEDRZPFGACZZDS-UHFFFAOYSA-N
67685,5356,67-68-5,dimethyl sulfoxide,IAZDPXIOMUYVGZ-UHFFFAOYSA-N
68122,5371,68-12-2,dimethylformamide,ZMXDDKWLCZADIW-UHFFFAOYSA-N
691372,5400,691-37-2,4-methyl-1-pentene,WSSSPWUEQFSQQG-UHFFFAOYSA-N
693027,5411,693-02-7,1-hexyne,CGHIBGNXEGJPQZ-UHFFFAOYSA-N
71238,5514,71-23-8,propan-1-ol,BDERNNFJNOPAEC-UHFFFAOYSA-N
71363,5520,71-36-3,butan-1-ol,LRHPLDYGYMQRHN-UHFFFAOYSA-N
