set,axis,stratum,unit,convention,n,n_solutes,n_solvents,n_pairs,mse,var_m,boundable_at_headline_cell,n_sources,top_source,top_source_share_of_stratum_squared_error,b_insuff_up,b_insuff_up_ml,b_closure_lb,margin,margin_ml,b_insuff_exceeds_var_m,adaptive_n_bins,b_insuff_up_adaptive,margin_adaptive,P_boot,bootstrap_reduces_to_one_way,pair_conditional_var,pair_conditional_rows,pair_conditional_groups,share_of_squared_error,share_of_rows,test_a_boundable,loso_testable,loso_n_deletions,loso_n_undefined,loso_n_leaving_unboundable,loso_margin_min,loso_margin_max,loso_worst_source,loso_worst_margin,test_b_sign_survives_loso,test_b_strict_remainder_boundable,admissible_this_cell,admissible_this_cell_strict,cells_admissible,cells_reported,admissible_in_every_cell,admissible_in_every_cell_strict,ci90_excludes_zero,direction,licenses,reason_not_admissible,margin_ci90_lo,margin_ci90_hi,margin_ci90
broad_477,solute_family,tertiary_amine,pair,full,4,2,3,4,0.0756,0.7129,False,1,10.1016/j.tca.2012.02.005,1.0,,,,,,,3,,,,False,,,,0.001,0.0216,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=4 < 40; the fixed cell is undefined at n=4,,,
broad_477,solute_family,tertiary_amine,pair,res,4,2,3,4,0.2776,0.7129,False,1,10.1016/j.tca.2012.02.005,1.0,,,,,,,3,,,,False,,,,0.0039,0.0216,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=4 < 40; the fixed cell is undefined at n=4,,,
broad_477,solute_family,water,row,full,37,1,6,6,4.8372,0.7395,False,1,10.1021/acs.jced.7b00114,1.0,0.648,0.5024,4.1892,3.5412,3.8325,False,3,0.6261,3.5849,1.0,True,0.115,37.0,6.0,0.1964,0.0776,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=37 < 40; one source publication (10.1021/acs.jced.7b00114): leave-one-source-out cannot be run, so the sign was never tested",1.804,5.888,
broad_477,solute_family,water,row,res,37,1,6,6,7.8658,0.7395,False,1,10.1021/acs.jced.7b00114,1.0,0.7702,0.6,7.0956,6.3254,6.6658,True,3,0.6898,6.4862,1.0,True,0.115,37.0,6.0,0.3208,0.0776,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,True,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=37 < 40; one source publication (10.1021/acs.jced.7b00114): leave-one-source-out cannot be run, so the sign was never tested",3.385,9.502,
broad_477,solute_family,water,pair,full,6,1,6,6,4.7508,0.4535,False,1,10.1021/acs.jced.7b00114,1.0,,,,,,,3,0.74,3.2707,,True,,,,0.0918,0.0324,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=6 < 40; the fixed cell is undefined at n=6,,,
broad_477,solute_family,water,pair,res,6,1,6,6,7.7822,0.4535,False,1,10.1021/acs.jced.7b00114,1.0,,,,,,,3,0.74,6.3021,,True,,,,0.1639,0.0324,False,False,1,1,1,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=6 < 40; the fixed cell is undefined at n=6,,,
broad_477,solvent_class_x_solute_role,aliphatic_hydrocarbon | organic_solute,row,full,2,2,1,2,0.0101,0.0052,False,2,10.1016/j.jct.2019.05.011,0.9302,,,,,,,3,,,,True,,,,0.0,0.0042,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class_x_solute_role,aliphatic_hydrocarbon | organic_solute,row,res,2,2,1,2,0.0107,0.0052,False,2,10.1016/j.jct.2019.05.011,0.8562,,,,,,,3,,,,True,,,,0.0,0.0042,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class_x_solute_role,aliphatic_hydrocarbon | organic_solute,pair,full,2,2,1,2,0.0101,0.0052,False,2,10.1016/j.jct.2019.05.011,0.9302,,,,,,,3,,,,True,,,,0.0001,0.0108,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class_x_solute_role,aliphatic_hydrocarbon | organic_solute,pair,res,2,2,1,2,0.0107,0.0052,False,2,10.1016/j.jct.2019.05.011,0.8562,,,,,,,3,,,,True,,,,0.0001,0.0108,False,True,2,2,2,,,,,False,False,False,False,0,4,False,False,,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=2 < 40; the fixed cell is undefined at n=2,,,
broad_477,solvent_class_x_solute_role,aprotic_acceptor | organic_solute,row,full,57,36,8,57,0.1093,0.8023,True,4,10.1016/j.tca.2012.02.005,0.3701,0.1305,0.1133,-0.0212,-0.1518,-0.1172,False,5,0.21,-0.3107,0.297,False,,,,0.0068,0.1195,True,True,4,0,2,-0.3873,-0.0774,10.1016/j.jct.2015.12.034,-0.0774,True,False,True,False,4,4,True,False,False,non-positive,"nothing: a non-positive margin is failure to separate, not a certified reversal (that needs a LOWER bound on B_insuff)",,-0.4,0.191,
