axis,stratum,unit,convention,n_bins,within_bin_variance,n,rows_per_bin,mse,b_insuff_up,margin,P_boot,margin_ci90_lo,margin_ci90_hi,cell_defined
solute_family,alkane,row,full,20,Be,129,6.45,2.4913,0.1558,2.1797,1.0,1.523,2.844,True
solute_family,alkane,row,full,24,ML,129,5.38,2.4913,0.1227,2.2459,1.0,1.557,2.905,True
solute_family,alkane,row,full,24,Be,129,5.38,2.4913,0.1498,2.1917,1.0,1.537,2.887,True
solute_family,alkane,row,full,32,ML,129,4.03,2.4913,0.1263,2.2387,1.0,1.615,2.952,True
solute_family,alkane,row,full,32,Be,129,4.03,2.4913,0.1682,2.1548,1.0,1.611,2.886,True
solute_family,alkane,row,full,40,ML,129,3.23,2.4913,0.0892,2.3129,1.0,1.663,2.933,True
solute_family,alkane,row,full,40,Be,129,3.23,2.4913,0.1298,2.2317,1.0,1.661,2.964,True
solute_family,alkane,row,full,48,ML,129,2.69,2.4913,0.0946,2.3021,1.0,1.659,2.974,True
solute_family,alkane,row,full,48,Be,129,2.69,2.4913,0.1473,2.1967,1.0,1.672,2.927,True
solute_family,alkane,row,res,3,ML,129,43.0,2.3148,0.8285,0.6577,0.887,-0.335,1.908,True
solute_family,alkane,row,res,3,Be,129,43.0,2.3148,0.8483,0.6183,0.846,-0.494,1.898,True
solute_family,alkane,row,res,4,ML,129,32.25,2.3148,0.6871,0.9406,0.976,0.245,2.072,True
