sample_id,ln_x2_final,T,T_m,dH_fus,tau_12,tau_21,alpha,eta,denominator,d_lnx2_dTm,d_lnx2_ddH,d_lnx2_dtau12,d_lnx2_dtau21,d_lnx2_dalpha,d_lnx2_dTm_abs,d_lnx2_ddH_abs,d_lnx2_dtau12_abs,d_lnx2_dtau21_abs,d_lnx2_dalpha_abs,abs_error
1680,-6.5683327,323.15,684.38086,21952.707,1.4725881,0.94870603,0.19261521,-5.215824111477363,0.9926762705782294,-0.0056790371546270695,-0.00019790882895284585,-1.002565078135935,-0.6845491598098841,0.7598404731839604,0.0056790371546270695,0.00019790882895284585,1.002565078135935,0.6845491598098841,0.7598404731839604,1.0648863888994846
1681,-6.261843,333.15,684.38086,21952.71,1.4439672,0.904711,0.1926251,-5.075446066130628,0.9903174364589201,-0.00569256481405285,-0.00018709860456488133,-1.0032912088628128,-0.698681599263914,0.7004277964581209,0.00569256481405285,0.00018709860456488133,1.0032912088628128,0.698681599263914,0.7004277964581209,0.5740566373834177
1682,-9.075857,278.15,695.51715,24313.955,1.7587347,1.2796197,0.1859734,-6.46718036575762,0.9992601897235031,-0.006049943465140801,-0.0002596825400462366,-1.0003190278359053,-0.6010150000131135,1.292127605219499,0.006049943465140801,0.0002596825400462366,1.0003190278359053,0.6010150000131135,1.292127605219499,0.3011877406646341
1683,-8.849118,283.15,695.51715,24313.955,1.7375764,1.2469856,0.18597811,-6.367665444086969,0.9990861874452609,-0.006050997131940923,-0.0002520848100293541,-1.0003896498266447,-0.6095662120795468,1.2348821166196946,0.006050997131940923,0.0002520848100293541,1.0003896498266447,0.6095662120795468,1.2348821166196946,0.2074949629326372
1684,-8.629947,288.15,695.51715,24313.955,1.7171516,1.2154851,0.18598288,-6.2713203192305595,0.9988794773943236,-0.006052249336990352,-0.00024475773578373436,-1.0004723715868769,-0.6179175374246924,1.180582346446226,0.006052249336990352,0.00024475773578373436,1.0004723715868769,0.6179175374246924,1.180582346446226,0.1202255321016618
1685,-8.41796,293.15,695.51715,24313.955,1.6974223,1.1850605,0.18598759,-6.177966352114628,0.9986355049587298,-0.006053727936543678,-0.00023768827142393536,-1.0005686143149894,-0.6260794208388701,1.1290602557099725,0.006053727936543678,0.00023768827142393536,1.0005686143149894,0.6260794208388701,1.1290602557099725,0.0348607099956144
1686,-8.212801,298.15,695.51715,24313.955,1.6783546,1.1556582,0.18599232,-6.08744360026771,0.9983493279590995,-0.006055463238655815,-0.00023086428620882474,-1.0006798710505482,-0.6340617691280297,1.0801602617294281,0.006055463238655815,0.00023086428620882474,1.0006798710505482,0.6340617691280297,1.0801602617294281,0.0374231809477407
1687,-8.014132,303.15,695.51715,24313.955,1.6599151,1.1272274,0.18599695,-5.9995948985150225,0.9980156027234445,-0.00605748811771663,-0.0002242744875286661,-1.0008077033859988,-0.6418749174501055,1.0337371940868176,0.00605748811771663,0.0002242744875286661,1.0008077033859988,0.6418749174501055,1.0337371940868176,0.107646873141066
1688,-7.821638,308.15,695.51715,24313.955,1.6420732,1.0997205,0.18600163,-5.914276265880137,0.9976285859727517,-0.006059838039723317,-0.00021790834786102438,-1.000953731040758,-0.6495286784407555,0.9896560242646821,0.006059838039723317,0.00021790834786102438,1.000953731040758,0.6495286784407555,0.9896560242646821,0.1737895203121073
1689,-7.635024,313.15,695.51715,24313.955,1.6248002,1.0730928,0.1860063,-5.8313512698150465,0.9971821335201285,-0.0060625511143607294,-0.00021175603959145277,-1.0011196244129308,-0.6570331635183425,0.9477915915084726,0.0060625511143607294,0.00021175603959145277,1.0011196244129308,0.6570331635183425,0.9477915915084726,0.2748521967217385
